country,code,UTC,percent
United States,US,-4.0,0.39
France,FR,2.0,0.07
Germany,DE,2.0,0.12
Netherlands,NL,2.0,0.04
United Kingdom,GB,1.0,0.12
India,IN,5.5,0.18
Japan,JP,9.0,0.08
