FR,US-CAL-CISO,DE,GB
239.30273825299125,392.08072942813527,518.4217895575862,417.1655663056675
236.5251460704555,392.0799935174572,513.9355909440628,414.95032893514883
232.85314348835965,390.99512780037804,508.8412603799522,412.4061352500807
227.20659190468197,390.99512780037804,504.0306347692557,409.32762278055054
221.940710184608,390.99512780037804,497.754795966526,406.40176843114466
214.13382934222886,390.99512780037804,494.055324467696,404.3553837327111
206.8013029044937,390.99512780037804,490.05629818403895,401.81778213324327
204.27675660707573,390.99512780037804,486.4500428653614,400.11086785067494
203.6536256613753,390.99512780037804,484.47416954613755,398.9703348340556
203.25513699882478,390.9710297463957,483.9300986369961,397.54814376611046
202.70144729949558,389.64769352497854,483.83918349321726,394.93309923886625
202.22241061847674,385.2278318078596,483.80793666067433,390.86212749968087
202.04833796579692,382.66726201923996,483.7970728589322,387.3198475196222
201.8570190972661,381.94472411133404,483.7970728589322,384.2326300769716
201.77083230699517,381.8491340129973,483.6840229624329,381.79291647985684
201.69627253731298,381.81474031301406,483.5671545772609,380.6116101028541
201.5829169332538,381.79819085703133,483.36542559155913,379.711448997262
