FR,US-CAL-CISO,DE,GB
47.34186301369863,277.3016164383562,408.80517808219173,180.96846575342462
46.79939726027397,244.92073972602736,405.79991780821916,179.03517808219178
46.10443835616437,209.83556164383563,402.9638082191781,176.09205479452055
45.86356164383562,190.95715068493152,401.5050958904109,174.48745205479452
45.553999999999995,184.58882191780822,400.5457808219178,173.81095890410958
45.318739726027395,182.1142191780822,399.1301917808219,173.4489589041096
45.141397260273976,180.88994520547942,397.80520547945196,172.96627397260275
45.05139726027398,180.0525205479452,395.81216438356165,172.2608493150685
44.569972602739725,179.50287671232874,390.8659726027397,170.84901369863013
43.14202739726027,179.30298630136986,379.0513698630137,168.06402739726028
41.288794520547945,179.28865753424657,355.83854794520545,162.12476712328768
40.12367123287671,179.28865753424657,330.02441095890407,155.02616438356165
39.68534246575342,179.28865753424657,312.3715890410959,150.53227397260272
39.47265753424658,179.28865753424657,302.4799178082192,148.585397260274
39.39378082191781,179.28865753424657,298.55452054794523,147.70676712328768
39.35158904109589,179.28865753424657,297.3802739726027,147.1241095890411
39.300273972602746,179.28865753424657,297.1570684931507,146.86495890410959
