gb,cal,fr,ger
184.09593162975762,320.3306422367374,52.12106334750043,305.32801311436504
178.45174833914342,318.44461994589903,51.26990689858241,302.5874696648081
175.3826196644843,316.778680400901,50.60158887686057,300.1624635486649
172.9427470506952,314.7996859776118,49.989616343002474,297.8391010296492
171.55528218755836,313.7234169398266,49.65872920460895,296.7854793619791
170.2751069035039,313.11064635493995,49.426317140568635,295.9483253709918
169.2823301685298,312.6780871365282,49.270251393844816,295.13296388543876
168.6277642031647,312.1655901324515,49.108215735962155,294.35946473732344
168.24050290348666,311.58620763905867,48.949131923773656,293.21699330927834
168.03335569785233,309.7763007147822,48.818774234508034,291.60421350219684
167.76967083588198,302.24825954106564,48.688577081090564,289.2568493100836
167.55339347868647,290.11910037536575,48.570897177073284,286.2895905499804
167.31470784564615,272.9456696947687,48.40738285214226,282.36010170773466
167.00003403060748,254.588742840293,48.304555489431635,278.28169920350473
166.62249806879638,234.2951856423884,48.220485354853935,273.18030908983616
166.07167828488332,219.56266152760332,48.14570108436438,268.4538545548216
164.92441102165023,208.78862435739944,48.06036005235584,263.30919914122984
